11 00;  81 41;  、
12 00;  81 42;  。
13 00;  81 49;  ！
14 00;  81 68;  ”
15 00;  81 77;  『
16 00;  81 78;  』
17 00;  81 93;  ％
18 00;  81 95;  ＆
1A 00;  81 69;  （
1B 00;  81 6a;  ）
1C 00;  81 60;  ～
1D 00;  81 7b;  ＋
1E 00;  81 43;  ，
1F 00;  81 7c;  －
20 00;  81 44;  ．
21 00;  81 5e;  ／
22 00;  82 4f;  ０
23 00;  82 50;  １
24 00;  82 51;  ２
25 00;  82 52;  ３
26 00;  82 53;  ４
27 00;  82 54;  ５
28 00;  82 55;  ６
29 00;  82 56;  ７
2A 00;  82 57;  ８
2B 00;  82 58;  ９
2C 00;  81 f4;  ♪
2D 00;  81 46;  ：
2E 00;  81 83;  ＜
2F 00;  81 81;  ＝
30 00;  81 84;  ＞
31 00;  81 48;  ？
32 00;  82 60;  Ａ
33 00;  82 61;  Ｂ
34 00;  82 62;  Ｃ
35 00;  82 63;  Ｄ
36 00;  82 64;  Ｅ
37 00;  82 65;  Ｆ
38 00;  82 66;  Ｇ
39 00;  82 67;  Ｈ
3A 00;  82 68;  Ｉ
3B 00;  82 69;  Ｊ
3C 00;  82 6a;  Ｋ
3D 00;  82 6b;  Ｌ
3E 00;  82 6c;  Ｍ
3F 00;  82 6d;  Ｎ
40 00;  82 6e;  Ｏ
41 00;  82 6f;  Ｐ
42 00;  82 70;  Ｑ
43 00;  82 71;  Ｒ
44 00;  82 72;  Ｓ
45 00;  82 73;  Ｔ
46 00;  82 74;  Ｕ
47 00;  82 75;  Ｖ
48 00;  82 76;  Ｗ
49 00;  82 77;  Ｘ
4A 00;  82 78;  Ｙ
4B 00;  82 79;  Ｚ
4E 00;  81 75;  「
4F 00;  81 76;  」
50 00;  81 45;  ・
51 00;  81 5b;  ー
52 00;  83 92;  ヲ
53 00;  83 40;  ァ
54 00;  83 42;  ィ
55 00;  83 44;  ゥ
56 00;  83 46;  ェ
57 00;  83 48;  ォ
58 00;  83 83;  ャ
59 00;  83 85;  ュ
5A 00;  83 87;  ョ
5B 00;  83 62;  ッ
5C 00;  83 41;  ア
5D 00;  83 43;  イ
5E 00;  83 45;  ウ
5F 00;  83 47;  エ
60 00;  83 49;  オ
61 00;  83 4a;  カ
62 00;  83 4c;  キ
63 00;  83 4e;  ク
64 00;  83 50;  ケ
65 00;  83 52;  コ
66 00;  83 54;  サ
67 00;  83 56;  シ
68 00;  83 58;  ス
69 00;  83 5a;  セ
6A 00;  83 5c;  ソ
6B 00;  83 5e;  タ
6C 00;  83 60;  チ
6D 00;  83 63;  ツ
6E 00;  83 65;  テ
6F 00;  83 67;  ト
70 00;  83 69;  ナ
71 00;  83 6a;  ニ
72 00;  83 6b;  ヌ
73 00;  83 6c;  ネ
74 00;  83 6d;  ノ
75 00;  83 6e;  ハ
76 00;  83 71;  ヒ
77 00;  83 74;  フ
78 00;  83 77;  ヘ
79 00;  83 7a;  ホ
7A 00;  83 7d;  マ
7B 00;  83 7e;  ミ
7C 00;  83 80;  ム
7D 00;  83 81;  メ
7E 00;  83 82;  モ
7F 00;  83 84;  ヤ
80 00;  83 86;  ユ
81 00;  83 88;  ヨ
82 00;  83 89;  ラ
83 00;  83 8a;  リ
84 00;  83 8b;  ル
85 00;  83 8c;  レ
86 00;  83 8d;  ロ
87 00;  83 8f;  ワ
88 00;  83 93;  ン
89 00;  82 f0;  を
8A 00;  82 9f;  ぁ
8B 00;  82 a1;  ぃ
8C 00;  82 a3;  ぅ
8D 00;  82 a5;  ぇ
8E 00;  82 a7;  ぉ
8F 00;  82 e1;  ゃ
90 00;  82 e3;  ゅ
91 00;  82 e5;  ょ
92 00;  82 c1;  っ
93 00;  82 a0;  あ
94 00;  82 a2;  い
95 00;  82 a4;  う
96 00;  82 a6;  え
97 00;  82 a8;  お
98 00;  82 a9;  か
99 00;  82 ab;  き
9A 00;  82 ad;  く
9B 00;  82 af;  け
9C 00;  82 b1;  こ
9D 00;  82 b3;  さ
9E 00;  82 b5;  し
9F 00;  82 b7;  す
A0 00;  82 b9;  せ
A1 00;  82 bb;  そ
A2 00;  82 bd;  た
A3 00;  82 bf;  ち
A4 00;  82 c2;  つ
A5 00;  82 c4;  て
A6 00;  82 c6;  と
A7 00;  82 c8;  な
A8 00;  82 c9;  に
A9 00;  82 ca;  ぬ
AA 00;  82 cb;  ね
AB 00;  82 cc;  の
AC 00;  82 cd;  は
AD 00;  82 d0;  ひ
AE 00;  82 d3;  ふ
AF 00;  82 d6;  へ
B0 00;  82 d9;  ほ
B1 00;  82 dc;  ま
B2 00;  82 dd;  み
B3 00;  82 de;  む
B4 00;  82 df;  め
B5 00;  82 e0;  も
B6 00;  82 e2;  や
B7 00;  82 e4;  ゆ
B8 00;  82 e6;  よ
B9 00;  82 e7;  ら
BA 00;  82 e8;  り
BB 00;  82 e9;  る
BC 00;  82 ea;  れ
BD 00;  82 eb;  ろ
BE 00;  82 ed;  わ
BF 00;  82 f1;  ん
C0 00;  3c 52 49 4e 47 3e;  КОЛЬЦО
C1 00;  3c 54 52 49 41 4e 47 4c 45 3e;  ТРЕУГОЛЬНИК
C2 00;  28 63 29;  ©
C3 00;  81 40;  (EMPTY)
C4 00;  81 40;  (EMPTY)
C5 00;  81 40;  (EMPTY)
C6 00;  81 40;  (EMPTY)
C7 00;  81 40;  (EMPTY)
C8 00;  81 40;  (EMPTY)
C9 00;  81 40;  (EMPTY)
